96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials
50974,66,28929,A3,,,LEFT,,4/21/2021,DB
50974,67,28929,A3,,,LEFT,,4/21/2021,DB
50974,68,28929,A3,,,LEFT,,4/21/2021,DB
50974,69,28929,A3,,,UNK,,4/21/2021,DB
50974,70,28929,A3,,,UNK,,4/21/2021,DB
50974,71,28929,C3,,,LEFT,,4/21/2021,DB
50974,72,28929,A4,,,LEFT,,4/21/2021,DB
50974,73,28929,A4,,,LEFT,,4/21/2021,DB
50974,74,28929,G4,,,UNK,,4/21/2021,DB
50974,75,28929,B5,,,UNK,,4/21/2021,DB
50974,76,28929,G5,,,LEFT,,4/21/2021,DB
50974,77,14395,A1,,,LEFT,,4/21/2021,DB
50974,78,14395,B1,,,LEFT,,4/21/2021,DB
50974,79,14395,C1,,,LEFT,,4/21/2021,DB
50974,80,14395,D1,,,LEFT,,4/21/2021,DB
50974,81,14395,D1,,,LEFT,,4/21/2021,DB
50974,82,14395,E1,,,LEFT,,4/21/2021,DB
50974,83,14395,E1,,,LEFT,,4/21/2021,DB
50974,84,14395,E1,,,LEFT,,4/21/2021,DB
50974,85,14395,E1,,,LEFT,,4/21/2021,DB
50974,86,14395,E1,,,LEFT,,4/21/2021,DB
50974,87,14395,F1,,,LEFT,,4/21/2021,DB
50974,88,14395,H1,,,LEFT,,4/21/2021,DB
50974,89,14395,A2,,,LEFT,,4/21/2021,DB
50974,90,14395,B2,,,LEFT,,4/21/2021,DB
50974,91,14395,C2,,,LEFT,,4/21/2021,DB
50974,92,14395,C2,,,LEFT,,4/21/2021,DB
50974,93,14395,C2,,,LEFT,,4/21/2021,DB
50974,94,14395,D2,,,LEFT,,4/21/2021,DB
50974,95,14395,E2,,,LEFT,,4/21/2021,DB
50974,96,NTC,NTC,,,,,4/21/2021,DB
50995,1,14395,E2,,,LEFT,,4/21/2021,DB
50995,2,14395,F2,,,LEFT,,4/21/2021,DB
50995,3,14395,G2,,,LEFT,,4/21/2021,DB
50995,4,14395,H2,,,LEFT,,4/21/2021,DB
50995,5,14395,C3,,,LEFT,,4/21/2021,DB
50995,6,14395,D3,,,LEFT,,4/21/2021,DB
50995,7,14395,B4,,,LEFT,,4/21/2021,DB
50995,8,14395,B4,,,LEFT,,4/21/2021,DB
50995,9,14395,B4,,,LEFT,,4/21/2021,DB
50995,10,14395,B4,,,LEFT,,4/21/2021,DB
50995,11,14395,B4,,,LEFT,,4/21/2021,DB
50995,12,14395,G4,,,LEFT,,4/21/2021,DB
50995,13,14395,G4,,,UNK,,4/21/2021,DB
50995,14,14395,A5,,,LEFT,,4/21/2021,DB
50995,15,14395,F5,,,UNK,,4/21/2021,DB
50995,16,14395,H5,,,LEFT,,4/21/2021,DB
50995,17,14395,B6,,,LEFT,,4/21/2021,DB
50995,18,14395,C6,,,LEFT,,4/21/2021,DB
50995,19,14395,F6,,,LEFT,,4/21/2021,DB
50995,20,14395,G6,,,LEFT,,4/21/2021,DB
50995,21,14395,H6,,,LEFT,,4/21/2021,DB
50995,22,16104,A1,,,LEFT,,4/21/2021,DB
50995,23,16104,B1,,,LEFT,,4/21/2021,DB
50995,24,16104,B1,,,LEFT,,4/21/2021,DB
50995,25,16104,C1,,,LEFT,,4/21/2021,DB
