SillySource,oto_tray_and_well,96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials,silly_code,stream,sample_year,sample_date,otolith_info,pass_QA,genotype_match_assigned,logic_match_assigned,non_GOD_assignment,otolith_moved,heart_fish_id,heart_position
PGOD21_82,50956_82,50956,82,22174,C4,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB17_538,B2
PGOD21_83,50956_83,50956,83,22174,H4,NA,NA,unk,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_84,50956_84,50956,84,22174,A5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_561,A5
PGOD21_85,50956_85,50956,85,22174,B5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_562,B5
PGOD21_86,50956_86,50956,86,22174,B5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB17_554,B4
PGOD21_87,50956_87,50956,87,22174,C5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB17_547,C3
PGOD21_88,50956_88,50956,88,22174,D5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB17_539,C2
PGOD21_89,50956_89,50956,89,22174,D5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_90,50956_90,50956,90,22174,D5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_91,50956_91,50956,91,22174,D5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB17_548,D3
PGOD21_92,50956_92,50956,92,22174,D5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_93,50956_93,50956,93,22174,E5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_94,50956_94,50956,94,22174,F5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_566,F5
PGOD21_95,50956_95,50956,95,22174,F5,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_96,50995_1,50995,1,14395,E2,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_97,50995_2,50995,2,14395,F2,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_1031,F5
PGOD21_98,50995_3,50995,3,14395,G2,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_1008,G2
PGOD21_99,50995_4,50995,4,14395,H2,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_100,50995_5,50995,5,14395,C3,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_1020,C4
PGOD21_101,50995_6,50995,6,14395,D3,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_1013,D3
PGOD21_102,50995_7,50995,7,14395,B4,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_1016,G3
PGOD21_103,50995_8,50995,8,14395,B4,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_1015,F3
PGOD21_104,50995_9,50995,9,14395,B4,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_105,50995_10,50995,10,14395,B4,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_1006,E2
PGOD21_106,50995_11,50995,11,14395,B4,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
