otolith_fish_id,heart_fish_id,otolith_miss_loci,heart_miss_loci,duplicate_rate,48_DWP_tray_barcode,diff,otolith_position,otolith_row,otolith_col,heart_position,heart_row,heart_col,heart_fish_id_self,heart_miss_loci_self,duplicate_rate_self,diff_self,match_type
PGOD21_2009,PGILMOUR15_498,80,0,0.8027522935779816,2123,0.2522935779816513,G2,G,2,G2,G,2,PGILMOUR15_498,0,0.8027522935779816,0,self
PGOD21_2010,PGILMOUR15_501,152,1,0.7534246575342466,2123,0.20023316817254444,B3,B,3,B3,B,3,PGILMOUR15_501,1,0.7534246575342466,0,self
PGOD21_2011,PGILMOUR15_500,184,3,0.6929824561403509,2123,0.1228070175438597,B3,B,3,A3,A,3,PGILMOUR15_501,1,0.4649122807017544,0.22807017543859653,not_self
PGOD21_2013,PGILMOUR15_503,125,2,0.8208092485549133,2123,0.2890173410404625,D3,D,3,D3,D,3,PGILMOUR15_503,2,0.8208092485549133,0,self
PGOD21_2014,PGILMOUR15_510,138,0,0.66875,2123,0.1499999999999999,D3,D,3,C4,C,4,PGILMOUR15_503,2,0.39622641509433965,0.2725235849056603,not_self
PGOD21_2015,PGILMOUR15_504,165,0,0.6165413533834586,2123,0.09774436090225558,E3,E,3,E3,E,3,PGILMOUR15_504,0,0.6165413533834586,0,self
PGOD21_2016,PGILMOUR15_511,101,1,0.6598984771573604,2123,0.03425745151633475,E3,E,3,D4,D,4,PGILMOUR15_504,0,0.38071065989847713,0.27918781725888325,not_self
PGOD21_2017,PGILMOUR15_505,167,0,0.8778625954198473,2123,0.3740458015267176,F3,F,3,F3,F,3,PGILMOUR15_505,0,0.8778625954198473,0,self
PGOD21_2018,PGILMOUR15_505,98,0,0.72,2123,0.17226130653266325,F3,F,3,F3,F,3,PGILMOUR15_505,0,0.72,0,self
PGOD21_2019,PGILMOUR15_506,131,0,0.8143712574850299,2123,0.2934131736526946,G3,G,3,G3,G,3,PGILMOUR15_506,0,0.8143712574850299,0,self
PGOD21_2022,PGILMOUR15_512,169,1,0.6511627906976745,2123,0.12403100775193798,E4,E,4,E4,E,4,PGILMOUR15_512,1,0.6511627906976745,0,self
PGOD21_2023,PGILMOUR15_514,103,1,0.9230769230769231,2123,0.38831756478815305,F4,F,4,G4,G,4,PGILMOUR15_513,0,0.48205128205128206,0.44102564102564107,not_self
PGOD21_2024,PGILMOUR15_531,31,6,0.9049429657794676,2123,0.3560707853283398,G4,G,4,H6,H,6,PGILMOUR15_514,1,0.5488721804511278,0.3560707853283398,not_self
PGOD21_2025,PGILMOUR15_515,110,0,0.6595744680851063,2123,0.13297872340425532,H4,H,4,H4,H,4,PGILMOUR15_515,0,0.6595744680851063,0,self
PGOD21_2027,PGILMOUR15_516,211,0,0.8850574712643678,2123,0.3448275862068966,A5,A,5,A5,A,5,PGILMOUR15_516,0,0.8850574712643678,0,self
PGOD21_2028,PGILMOUR15_517,72,2,0.9867256637168141,2123,0.47787610619469023,B5,B,5,B5,B,5,PGILMOUR15_517,2,0.9867256637168141,0,self
PGOD21_2029,PGILMOUR15_518,125,4,0.6936416184971098,2123,0.1445086705202312,C5,C,5,C5,C,5,PGILMOUR15_518,4,0.6936416184971098,0,self
PGOD21_2030,PGILMOUR15_519,131,2,0.9880239520958084,2123,0.49101796407185633,D5,D,5,D5,D,5,PGILMOUR15_519,2,0.9880239520958084,0,self
PGOD21_2031,PGILMOUR15_520,43,2,0.8196078431372549,2123,0.3091475920912298,E5,E,5,E5,E,5,PGILMOUR15_520,2,0.8196078431372549,0,self
